Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1976,1976,hg/ha,117384,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1977,1977,hg/ha,115731,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1978,1978,hg/ha,122282,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1979,1979,hg/ha,125548,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1980,1980,hg/ha,121521,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1981,1981,hg/ha,132104,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1982,1982,hg/ha,129957,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1983,1983,hg/ha,135456,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1984,1984,hg/ha,152988,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1985,1985,hg/ha,148064,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1986,1986,hg/ha,123639,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1987,1987,hg/ha,153221,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1988,1988,hg/ha,158694,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1989,1989,hg/ha,159290,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1990,1990,hg/ha,157136,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1991,1991,hg/ha,162540,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1992,1992,hg/ha,160294,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1993,1993,hg/ha,149024,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1994,1994,hg/ha,166101,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1995,1995,hg/ha,162720,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1996,1996,hg/ha,169913,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1997,1997,hg/ha,193913,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1998,1998,hg/ha,146020,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,1999,1999,hg/ha,175712,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2000,2000,hg/ha,186443,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2001,2001,hg/ha,183627,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2002,2002,hg/ha,194173,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2003,2003,hg/ha,173208,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2004,2004,hg/ha,188091,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2005,2005,hg/ha,188908,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2006,2006,hg/ha,185920,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2007,2007,hg/ha,164101,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2008,2008,hg/ha,192973,E,Estimated value
QCL,Crops and livestock products,356,India,5419,Yield,1510,Potatoes,2009,2009,hg/ha,188103,E,Estimated value
